Date ; Family ; Family ; Private ; Private
Jun 01 ; Deut 5 ; Ps 88 ; Isa 33 ; Rev 3
Jun 02 ; Deut 6 ; Ps 89 ; Isa 34 ; Rev 4
Jun 03 ; Deut 7 ; Ps 90 ; Isa 35 ; Rev 5
Jun 04 ; Deut 8 ; Ps 91 ; Isa 36 ; Rev 6
Jun 05 ; Deut 9 ; Ps 92-93 ; Isa 37 ; Rev 7
Jun 06 ; Deut 10 ; Ps 94 ; Isa 38 ; Rev 8
Jun 07 ; Deut 11 ; Ps 95-96 ; Isa 39 ; Rev 9
Jun 08 ; Deut 12 ; Ps 97-98 ; Isa 40 ; Rev 10
Jun 09 ; Deut 13-14 ; Ps 99-101 ; Isa 41 ; Rev 11
Jun 10 ; Deut 15 ; Ps 102 ; Isa 42 ; Rev 12
Jun 11 ; Deut 16 ; Ps 103 ; Isa 43 ; Rev 13
Jun 12 ; Deut 17 ; Ps 104 ; Isa 44 ; Rev 14
Jun 13 ; Deut 18 ; Ps 105 ; Isa 45 ; Rev 15
Jun 14 ; Deut 19 ; Ps 106 ; Isa 46 ; Rev 16
Jun 15 ; Deut 20 ; Ps 107 ; Isa 47 ; Rev 17
Jun 16 ; Deut 21 ; Ps 108-109 ; Isa 48 ; Rev 18
Jun 17 ; Deut 22 ; Ps 110-111 ; Isa 49 ; Rev 19
Jun 18 ; Deut 23 ; Ps 112-113 ; Isa 50 ; Rev 20
Jun 19 ; Deut 24 ; Ps 114-115 ; Isa 51 ; Rev 21
Jun 20 ; Deut 25 ; Ps 116 ; Isa 52 ; Rev 22
Jun 21 ; Deut 26 ; Ps 117-118 ; Isa 53 ; Matt 1
Jun 22 ; Deut 27:1-28:19 ; Ps 119:1-24 ; Isa 54 ; Matt 2
Jun 23 ; Deut 28:20-68 ; Ps 119:25-48 ; Isa 55 ; Matt 3
Jun 24 ; Deut 29 ; Ps 119:49-72 ; Isa 56 ; Matt 4
Jun 25 ; Deut 30 ; Ps 119:73-96 ; Isa 57 ; Matt 5
Jun 26 ; Deut 31 ; Ps 119:97-120 ; Isa 58 ; Matt 6
Jun 27 ; Deut 32 ; Ps 119:121-144 ; Isa 59 ; Matt 7
Jun 28 ; Deut 33-34 ; Ps 119:145-176 ; Isa 60 ; Matt 8
Jun 29 ; Josh 1 ; Ps 120-122 ; Isa 61 ; Matt 9
Jun 30 ; Josh 2 ; Ps 123-125 ; Isa 62 ; Matt 10
Jul 01 ; Josh 3 ; Ps 126-128 ; Isa 63 ; Matt 11
Jul 02 ; Josh 4 ; Ps 129-131 ; Isa 64 ; Matt 12
Jul 03 ; Josh 5 ; Ps 132-134 ; Isa 65 ; Matt 13
Jul 04 ; Josh 6 ; Ps 135-136 ; Isa 66 ; Matt 14
Jul 05 ; Josh 7 ; Ps 137-138 ; Jer 1 ; Matt 15
Jul 06 ; Josh 8 ; Ps 139 ; Jer 2 ; Matt 16
Jul 07 ; Josh 9 ; Ps 140-141 ; Jer 3 ; Matt 17
Jul 08 ; Josh 10 ; Ps 142-143 ; Jer 4 ; Matt 18
Jul 09 ; Josh 11 ; Ps 144 ; Jer 5 ; Matt 19
Jul 10 ; Josh 12-13 ; Ps 145 ; Jer 6 ; Matt 20
Jul 11 ; Josh 14-15 ; Ps 146-147 ; Jer 7 ; Matt 21
Jul 12 ; Josh 16-17 ; Ps 148 ; Jer 8 ; Matt 22
Jul 13 ; Josh 18-19 ; Ps 149-150 ; Jer 9 ; Matt 23
Jul 14 ; Josh 20-21 ; Acts 1 ; Jer 10 ; Matt 24
Jul 15 ; Josh 22 ; Acts 2 ; Jer 11 ; Matt 25
Jul 16 ; Josh 23 ; Acts 3 ; Jer 12 ; Matt 26
Jul 17 ; Josh 24 ; Acts 4 ; Jer 13 ; Matt 27
Jul 18 ; Judg 1 ; Acts 5 ; Jer 14 ; Matt 28
Jul 19 ; Judg 2 ; Acts 6 ; Jer 15 ; Mark 1
Jul 20 ; Judg 3 ; Acts 7 ; Jer 16 ; Mark 2
Jul 21 ; Judg 4 ; Acts 8 ; Jer 17 ; Mark 3
Jul 22 ; Judg 5 ; Acts 9 ; Jer 18 ; Mark 4
Jul 23 ; Judg 6 ; Acts 10 ; Jer 19 ; Mark 5
Jul 24 ; Judg 7 ; Acts 11 ; Jer 20 ; Mark 6
Jul 25 ; Judg 8 ; Acts 12 ; Jer 21 ; Mark 7
Jul 26 ; Judg 9 ; Acts 13 ; Jer 22 ; Mark 8
Jul 27 ; Judg 10 ; Acts 14 ; Jer 23 ; Mark 9
Jul 28 ; Judg 11 ; Acts 15 ; Jer 24 ; Mark 10
Jul 29 ; Judg 12 ; Acts 16 ; Jer 25 ; Mark 11
Jul 30 ; Judg 13 ; Acts 17 ; Jer 26 ; Mark 12
Jul 31 ; Judg 14 ; Acts 18 ; Jer 27 ; Mark 13
Aug 01 ; Judg 15 ; Acts 19 ; Jer 28 ; Mark 14
Aug 02 ; Judg 16 ; Acts 20 ; Jer 29 ; Mark 15
Aug 03 ; Judg 17 ; Acts 21 ; Jer 30-31 ; Mark 16
Aug 04 ; Judg 18 ; Acts 22 ; Jer 32 ; Ps 1-2
Aug 05 ; Judg 19 ; Acts 23 ; Jer 33 ; Ps 3-4
Aug 06 ; Judg 20 ; Acts 24 ; Jer 34 ; Ps 5-6
Aug 07 ; Judg 21 ; Acts 25 ; Jer 35 ; Ps 7-8
Aug 08 ; Ruth 1 ; Acts 26 ; Jer 36, 45 ; Ps 9
Aug 09 ; Ruth 2 ; Acts 27 ; Jer 37 ; Ps 10
Aug 10 ; Ruth 3-4 ; Acts 28 ; Jer 38 ; Ps 11-12
Aug 11 ; 1 Sam 1 ; Rom 1 ; Jer 39 ; Ps 13-14
Aug 12 ; 1 Sam 2 ; Rom 2 ; Jer 40 ; Ps 15-16
Aug 13 ; 1 Sam 3 ; Rom 3 ; Jer 41 ; Ps 17
Aug 14 ; 1 Sam 4 ; Rom 4 ; Jer 42 ; Ps 18
Aug 15 ; 1 Sam 5-6 ; Rom 5 ; Jer 43 ; Ps 19
Aug 16 ; 1 Sam 7-8 ; Rom 6 ; Jer 44 ; Ps 20-21
Aug 17 ; 1 Sam 9 ; Rom 7 ; Jer 46 ; Ps 22
Aug 18 ; 1 Sam 10 ; Rom 8 ; Jer 47 ; Ps 23-24
Aug 19 ; 1 Sam 11 ; Rom 9 ; Jer 48 ; Ps 25
Aug 20 ; 1 Sam 12 ; Rom 10 ; Jer 49 ; Ps 26-27
Aug 21 ; 1 Sam 13 ; Rom 11 ; Jer 50 ; Ps 28-29
Aug 22 ; 1 Sam 14 ; Rom 12 ; Jer 51 ; Ps 30
Aug 23 ; 1 Sam 15 ; Rom 13 ; Jer 52 ; Ps 31
Aug 24 ; 1 Sam 16 ; Rom 14 ; Lam 1 ; Ps 32
Aug 25 ; 1 Sam 17 ; Rom 15 ; Lam 2 ; Ps 33
Aug 26 ; 1 Sam 18 ; Rom 16 ; Lam 3 ; Ps 34
Aug 27 ; 1 Sam 19 ; 1 Cor 1 ; Lam 4 ; Ps 35
Aug 28 ; 1 Sam 20 ; 1 Cor 2 ; Lam 5 ; Ps 36
Aug 29 ; 1 Sam 21-22 ; 1 Cor 3 ; Eze 1 ; Ps 37
Aug 30 ; 1 Sam 23 ; 1 Cor 4 ; Eze 2 ; Ps 38
Aug 31 ; 1 Sam 24 ; 1 Cor 5 ; Eze 3 ; Ps 39
Sep 01 ; 1 Sam 25 ; 1 Cor 6 ; Eze 4 ; Ps 40-41
Sep 02 ; 1 Sam 26 ; 1 Cor 7 ; Eze 5 ; Ps 42-43
Sep 03 ; 1 Sam 27 ; 1 Cor 8 ; Eze 6 ; Ps 44
Sep 04 ; 1 Sam 28 ; 1 Cor 9 ; Eze 7 ; Ps 45
Sep 05 ; 1 Sam 29-30 ; 1 Cor 10 ; Eze 8 ; Ps 46-47
Sep 06 ; 1 Sam 31 ; 1 Cor 11 ; Eze 9 ; Ps 48
Sep 07 ; 2 Sam 1 ; 1 Cor 12 ; Eze 10 ; Ps 49
Sep 08 ; 2 Sam 2 ; 1 Cor 13 ; Eze 11 ; Ps 50
Sep 09 ; 2 Sam 3 ; 1 Cor 14 ; Eze 12 ; Ps 51
Sep 10 ; 2 Sam 4-5 ; 1 Cor 15 ; Eze 13 ; Ps 52-54
Sep 11 ; 2 Sam 6 ; 1 Cor 16 ; Eze 14 ; Ps 55
Sep 12 ; 2 Sam 7 ; 2 Cor 1 ; Eze 15 ; Ps 56-57
Sep 13 ; 2 Sam 8-9 ; 2 Cor 2 ; Eze 16 ; Ps 58-59
Sep 14 ; 2 Sam 10 ; 2 Cor 3 ; Eze 17 ; Ps 60-61
Sep 15 ; 2 Sam 11 ; 2 Cor 4 ; Eze 18 ; Ps 62-63
Sep 16 ; 2 Sam 12 ; 2 Cor 5 ; Eze 19 ; Ps 64-65
Sep 17 ; 2 Sam 13 ; 2 Cor 6 ; Eze 20 ; Ps 66-67
Sep 18 ; 2 Sam 14 ; 2 Cor 7 ; Eze 21 ; Ps 68
Sep 19 ; 2 Sam 15 ; 2 Cor 8 ; Eze 22 ; Ps 69
Sep 20 ; 2 Sam 16 ; 2 Cor 9 ; Eze 23 ; Ps 70-71
Sep 21 ; 2 Sam 17 ; 2 Cor 10 ; Eze 24 ; Ps 72
Sep 22 ; 2 Sam 18 ; 2 Cor 11 ; Eze 25 ; Ps 73
Sep 23 ; 2 Sam 19 ; 2 Cor 12 ; Eze 26 ; Ps 74
Sep 24 ; 2 Sam 20 ; 2 Cor 13 ; Eze 27 ; Ps 75-76
Sep 25 ; 2 Sam 21 ; Gal 1 ; Eze 28 ; Ps 77
Sep 26 ; 2 Sam 22 ; Gal 2 ; Eze 29 ; Ps 78:1-39
Sep 27 ; 2 Sam 23 ; Gal 3 ; Eze 30 ; Ps 78:40-72
Sep 28 ; 2 Sam 24 ; Gal 4 ; Eze 31 ; Ps 79
Sep 29 ; 1 Kings 1 ; Gal 5 ; Eze 32 ; Ps 80
Sep 30 ; 1 kings 2 ; Gal 6 ; Eze 33 ; Ps 81-82
Oct 01 ; 1 Kings 3 ; Eph 1 ; Eze 34 ; Ps 83-84
Oct 02 ; 1 Kings 4-5 ; Eph 2 ; Eze 35 ; Ps 85
Oct 03 ; 1 Kings 6 ; Eph 3 ; Eze 36 ; Ps 86
Oct 04 ; 1 Kings 7 ; Eph 4 ; Eze 37 ; Ps 87-88
Oct 05 ; 1 Kings 8 ; Eph 5 ; Eze 38 ; Ps 89
Oct 06 ; 1 Kings 9 ; Eph 6 ; Eze 39 ; Ps 90
Oct 07 ; 1 Kings 10 ; Phil 1 ; Eze 40 ; Ps 91
Oct 08 ; 1 Kings 11 ; Phil 2 ; Eze 41 ; Ps 92-93
Oct 09 ; 1 Kings 12 ; Phil 3 ; Eze 42 ; Ps 94
Oct 10 ; 1 Kings 13 ; Phil 4 ; Eze 43 ; Ps 95-96
Oct 11 ; 1 Kings 14 ; Col 1 ; Eze 44 ; Ps 97-98
Oct 12 ; 1 Kings 15 ; Col 2 ; Eze 45 ; Ps 99-101
Oct 13 ; 1 Kings 16 ; Col 3 ; Eze 46 ; Ps 102
Oct 14 ; 1 Kings 17 ; Col 4 ; Eze 47 ; Ps 103
Oct 15 ; 1 Kings 18 ; 1 Thess 1 ; Eze 48 ; Ps 104
Oct 16 ; 1 Kings 19 ; 1 Thess 2 ; Dan 1 ; Ps 105
Oct 17 ; 1 Kings 20 ; 1 Thess 3 ; Dan 2 ; Ps 106
Oct 18 ; 1 Kings 21 ; 1 Thess 4 ; Dan 3 ; Ps 107
Oct 19 ; 1 Kings 22 ; 1 Thess 5 ; Dan 4 ; Ps 108-109
Oct 20 ; 2 Kings 1 ; 2 Thess 1 ; Dan 5 ; Ps 110-111
Oct 21 ; 2 Kings 2 ; 2 Thess 2 ; Dan 6 ; Ps 112-113
Oct 22 ; 2 Kings 3 ; 2 Thess 3 ; Dan 7 ; Ps 114-115
Oct 23 ; 2 Kings 4 ; 1 Tim 1 ; Dan 8 ; Ps 116
Oct 24 ; 2 Kings 5 ; 1 Tim 2 ; Dan 9 ; Ps 117-118
Oct 25 ; 2 Kings 6 ; 1 Tim 3 ; Dan 10 ; Ps 119:1-24
Oct 26 ; 2 Kings 7 ; 1 Tim 4 ; Dan 11 ; Ps 119:25-48
Oct 27 ; 2 Kings 8 ; 1 Tim 5 ; Dan 12 ; Ps 119:49-72
Oct 28 ; 2 Kings 9 ; 1 Tim 6 ; Hosea 1 ; Ps 119:73-96
Oct 29 ; 2 Kings 10-11 ; 2 Tim 1 ; Hosea 2 ; Ps 119:97-120
Oct 30 ; 2 Kings 12 ; 2 Tim 2 ; Hosea 3-4 ; Ps 119:121-144
Oct 31 ; 2 Kings 13 ; 2 Tim 3 ; Hosea 5-6 ; Ps 119:145-176
Nov 01 ; 2 Kings 14 ; 2 Tim 4 ; Hosea 7 ; Ps 120-122
Nov 02 ; 2 Kings 15 ; Titus 1 ; Hosea 8 ; Ps 123-125
Nov 03 ; 2 Kings 16 ; Titus 2 ; Hosea 9 ; Ps 126-128
Nov 04 ; 2 Kings 17 ; Titus 3 ; Hosea 10 ; Ps 129-131
Nov 05 ; 2 Kings 18 ; Philem ; Hosea 11 ; Ps 132-134
Nov 06 ; 2 Kings 19 ; Heb 1 ; Hosea 12 ; Ps 135-136
Nov 07 ; 2 Kings 20 ; Heb 2 ; Hosea 13 ; Ps 137-138
Nov 08 ; 2 Kings 21 ; Heb 3 ; Hosea 14 ; Ps 139
Nov 09 ; 2 Kings 22 ; Heb 4 ; Joel 1 ; Ps 140-141
Nov 10 ; 2 Kings 23 ; Heb 5 ; Joel 2 ; Ps 142
Nov 11 ; 2 Kings 24 ; Heb 6 ; Joel 3 ; Ps 143
Nov 12 ; 2 Kings 25 ; Heb 7 ; Amos 1 ; Ps 144
Nov 13 ; 1 Chr 1-2 ; Heb 8 ; Amos 2 ; Ps 145
Nov 14 ; 1 Chr 3-4 ; Heb 9 ; Amos 3 ; Ps 146-147
Nov 15 ; 1 Chr 5-6 ; Heb 10 ; Amos 4 ; Ps 148-150
Nov 16 ; 1 Chr 7-8 ; Heb 11 ; Amos 5 ; Luke 1:1-38
Nov 17 ; 1 Chr 9-10 ; Heb 12 ; Amos 6 ; Luke 1:39-80
Nov 18 ; 1 Chr 11-12 ; Heb 13 ; Amos 7 ; Luke 2
Nov 19 ; 1 Chr 13-14 ; James 1 ; Amos 8 ; Luke 3
Nov 20 ; 1 Chr 15 ; James 2 ; Amos 9 ; Luke 4
Nov 21 ; 1 Chr 16 ; James 3 ; Obadiah ; Luke 5
Nov 22 ; 1 Chr 17 ; James 4 ; Jonah 1 ; Luke 6
Nov 23 ; 1 Chr 18 ; James 5 ; Jonah 2 ; Luke 7
Nov 24 ; 1 Chr 19-20 ; 1 Peter 1 ; Jonah 3 ; Luke 8
Nov 25 ; 1 Chr 21 ; 1 Peter 2 ; Jonah 4 ; Luke 9
Nov 26 ; 1 Chr 22 ; 1 Peter 3 ; Micah 1 ; Luke 10
Nov 27 ; 1 Chr 23 ; 1 Peter 4 ; Micah 2 ; Luke 11
Nov 28 ; 1 Chr 24-25 ; 1 Peter 5 ; Micah 3 ; Luke 12
Nov 29 ; 1 Chr 26-27 ; 2 Peter 1 ; Micah 4 ; Luke 13
Nov 30 ; 1 Chr 28 ; 2 Peter 2 ; Micah 5 ; Luke 14
Dec 01 ; 1 Chr 29 ; 2 Peter 3 ; Micah 6 ; Luke 15
Dec 02 ; 2 Chr 1 ; 1 John 1 ; Micah 7 ; Luke 16
Dec 03 ; 2 Chr 2 ; 1 John 2 ; Nahum 1 ; Luke 17
Dec 04 ; 2 Chr 3-4 ; 1 John 3 ; Nahum 2 ; Luke 18
Dec 05 ; 2 Chr 5:1-6:11 ; 1 John 4 ; Nahum 3 ; Luke 19
Dec 06 ; 2 Chr 6:12-42 ; 1 John 5 ; Hab 1 ; Luke 20
Dec 07 ; 2 Chr 7 ; 2 John ; Hab 2 ; Luke 21
Dec 08 ; 2 Chr 8 ; 3 John ; Hab 3 ; Luke 22
Dec 09 ; 2 Chr 9 ; Jude ; Zeph 1 ; Luke 23
